Name,Year.of.deployment,Type.of.wreck,Location.Country,Location.City.State.Province,Location.Water.Body,Depth,Latitude,Longitude,Accuracy,Last.update,Source,Notes,ISO.Country.Code,ISO.Country.Code.1,ISO.Country.Code.state.province,ID,calcite,chlomax,chlomean,chlomin,chlorange,cloudmax,cloudmean,cloudmin,damax,damean,damin,dissox,nitrate,parmax,parmean,ph,phos,salinity,silicate,sstmax,sstmean,sstmin,sstrange,Wreck.Category,Protected.Area,Name.Protected.Area,Near.Coral.ID,Distance.Coral,Near.Aquarium.Name,Distance.Aquarium,Last.update.Year,Last.update.Month,Last.update.Day,Purpose.of.deployment,Method.of.sinking,Baseline.survey,Monitoring,Method.of.monitoring,Research.outcome,Life.span.years,Source.1,Min.Est.Lifespan,Max.Est.Lifespan
Water Lily,1980,ship,Mauritius,,Indian Ocean,,-20.02501,57.53505,Low,,http://www.mmcs-ngo.org/en/projects/artificial-reefs/map-and-history-of-the-artificial-reefs-around-mauritius.aspx,Due to local legal issues exact coordinates was not available; instead they were estimated based on a map drawing,MUS,480,,1,0.000105,0.171000004,0.123999998,0.075999998,0.095000014,0.671000004,0.559000015,0.488000005,0.039000001,0.034000002,0.027000001,4.742000103,1.625,55.52399826,42.45700073,8.267000198,0.168899998,35.10400009,3.733999968,28.35099983,25.93600082,23.44000053,4.910999775,other,0,0,32414,2.059747,Mitchell Park Zoo,2878.650521,,,,,,,,,,,,,
Tug 2,1981,ship,Mauritius,,Indian Ocean,,-20.25,57.37094,Low,,http://www.mmcs-ngo.org/en/projects/artificial-reefs/map-and-history-of-the-artificial-reefs-around-mauritius.aspx,Due to local legal issues exact coordinates was not available; instead they were estimated based on a map drawing,MUS,480,,2,0.000066,0.138999999,0.086999997,0.039999999,0.098999999,0.637000024,0.536000013,0.460999995,0.033,0.027000001,0.021,4.744999886,1.667000055,55.02099991,40.78300095,8.267000198,0.168200001,35.11800003,3.730999947,28.75600052,26.16300011,23.68400002,5.072000027,other,0,0,32414,32.247626,Mitchell Park Zoo,2852.004858,,,,,,,,,,,,,
Kei Sei 113,1987,ship,Mauritius,,Indian Ocean,,-20.28607,57.34965,Low,,http://www.mmcs-ngo.org/en/projects/artificial-reefs/map-and-history-of-the-artificial-reefs-around-mauritius.aspx,Due to local legal issues exact coordinates was not available; instead they were estimated based on a map drawing,MUS,480,,3,,,,,,,,,,,,,,,,,,,,,,,,other,0,0,32414,36.793762,Mitchell Park Zoo,2848.209923,,,,,,,,,,,,,
St Gabriel,1987,ship,Mauritius,,Indian Ocean,,-20.30474,57.34485,Low,,http://www.mmcs-ngo.org/en/projects/artificial-reefs/map-and-history-of-the-artificial-reefs-around-mauritius.aspx,Due to local legal issues exact coordinates was not available; instead they were estimated based on a map drawing,MUS,480,,4,,,,,,,,,,,,,,,,,,,,,,,,other,0,0,32414,38.786014,Mitchell Park Zoo,2846.825867,,,,,,,,,,,,,
Stella Maru,1987,ship,Mauritius,,Indian Ocean,,-20.03081,57.51994,Low,,http://www.mmcs-ngo.org/en/projects/artificial-reefs/map-and-history-of-the-artificial-reefs-around-mauritius.aspx,Due to local legal issues exact coordinates was not available; instead they were estimated based on a map drawing,MUS,480,,5,0.000105,0.171000004,0.123999998,0.075999998,0.095000014,0.671000004,0.559000015,0.488000005,0.039000001,0.034000002,0.027000001,4.742000103,1.625,55.52399826,42.45700073,8.267000198,0.168899998,35.10400009,3.733999968,28.35099983,25.93600082,23.44000053,4.910999775,other,0,0,32414,3.713429,Mitchell Park Zoo,2876.951333,,,,,,,,,,,,,
Carp,1989,ship,Mauritius,,Indian Ocean,,-20.46385,57.28202,Low,,http://www.mmcs-ngo.org/en/projects/artificial-reefs/map-and-history-of-the-artificial-reefs-around-mauritius.aspx,Due to local legal issues exact coordinates was not available; instead they were estimated based on a map drawing,MUS,480,,6,0.018769,0.134000003,0.111000001,0.066,0.068000004,0.649999976,0.550999999,0.437000006,0.035999998,0.032000002,0.026000001,4.751999855,1.684999943,55.75299835,41.44100189,8.267999649,0.166800007,35.13600159,3.719000101,28.66500092,26.00399971,23.40099907,5.263999939,other,0,0,32414,57.24895,Mitchell Park Zoo,2833.025566,,,,,,,,,,,,,
Silver Star,1991,ship,Mauritius,,Indian Ocean,,-19.97706,57.56692,Low,,http://www.mmcs-ngo.org/en/projects/artificial-reefs/map-and-history-of-the-artificial-reefs-around-mauritius.aspx,Due to local legal issues exact coordinates was not available; instead they were estimated based on a map drawing,MUS,480,,7,0.000071,0.135000005,0.105999999,0.083999999,0.05100001,0.657000005,0.541999996,0.463,0.035999998,0.032000002,0.028999999,4.738999844,1.616999984,57.42699814,44.34600067,8.265999794,0.169499993,35.09799957,3.737999916,28.38599968,25.84300041,23.41600037,4.96999979,other,0,0,32414,4.333369,Mitchell Park Zoo,2884.053923,,,,,,,,,,,,,
Orient,1992,ship,Mauritius,,Indian Ocean,,-20.32213,57.35652,Low,,http://www.mmcs-ngo.org/en/projects/artificial-reefs/map-and-history-of-the-artificial-reefs-around-mauritius.aspx,Due to local legal issues exact coordinates was not available; instead they were estimated based on a map drawing,MUS,480,,8,,,,,,,,,,,,,,,,,,,,,,,,other,0,0,32414,39.77063,Mitchell Park Zoo,2847.040623,,,,,,,,,,,,,
Hassen Mian,1996,ship,Mauritius,,Indian Ocean,,-20.08142,57.49789,Low,,http://www.mmcs-ngo.org/en/projects/artificial-reefs/map-and-history-of-the-artificial-reefs-around-mauritius.aspx,Due to local legal issues exact coordinates was not available; instead they were estimated based on a map drawing,MUS,480,,9,0.000077,0.158000007,0.094999999,0.061000001,0.097000003,0.633000016,0.532000005,0.453999996,0.034000002,0.028999999,0.025,4.741000175,1.616000056,55.74000168,42.97200012,8.267000198,0.169100001,35.10499954,3.730999947,28.38599968,25.98699951,23.52700043,4.859000206,other,0,0,32414,9.347386,Mitchell Park Zoo,2872.330831,,,,,,,,,,,,,
Jabeda,1996,ship,Mauritius,,Indian Ocean,,-19.95996,57.60887,Low,,http://www.mmcs-ngo.org/en/projects/artificial-reefs/map-and-history-of-the-artificial-reefs-around-mauritius.aspx,Due to local legal issues exact coordinates was not available; instead they were estimated based on a map drawing,MUS,480,,10,0.001301,0.630999982,0.241999999,0.131999999,0.499000013,0.644999981,0.533999979,0.458000004,0.067000002,0.046,0.033,4.739999771,1.625,57.42699814,44.34600067,8.265999794,0.169300005,35.09799957,3.740999937,28.2140007,25.6760006,23.29299927,4.921000004,other,0,0,32414,8.502536,Mitchell Park Zoo,2888.823145,,,,,,,,,,,,,
